Limit Breached,Result Date,Parameter,Sample Point,Result
False,2025-03-11 12:28:00,"Chlorine, Total",ZONE_DC_NODE_18,1.4
False,2025-03-11 12:28:00,pH field,ZONE_DC_NODE_18,8.0
False,2025-03-11 12:28:00,Temperature,ZONE_DC_NODE_18,14.6
False,2025-03-11 12:20:00,"Chlorine, Free",ZONE_AP_NODE_13,0.86
False,2025-03-11 12:20:00,"Chlorine, Total",ZONE_AP_NODE_13,1.2
False,2025-03-11 12:20:00,pH field,ZONE_AP_NODE_13,7.7
False,2025-03-11 12:20:00,Temperature,ZONE_AP_NODE_13,14.9
False,2025-03-11 12:10:00,"Chlorine, Free",ZONE_CA_NODE_01,0.92
False,2025-03-11 12:10:00,"Chlorine, Total",ZONE_CA_NODE_01,1.1
False,2025-03-11 12:10:00,pH field,ZONE_CA_NODE_01,7.6
False,2025-03-11 12:10:00,Temperature,ZONE_CA_NODE_01,16.0
False,2025-03-11 12:09:00,"Chlorine, Free",ZONE_AY_NODE_06,0.65
False,2025-03-11 12:09:00,"Chlorine, Total",ZONE_AY_NODE_06,0.95
False,2025-03-11 12:09:00,pH field,ZONE_AY_NODE_06,7.0
False,2025-03-11 12:09:00,Temperature,ZONE_AY_NODE_06,16.0
False,2025-03-11 12:05:00,"Chlorine, Free",ZONE_AP_NODE_14,0.78
False,2025-03-11 12:05:00,"Chlorine, Total",ZONE_AP_NODE_14,1.2
False,2025-03-11 12:05:00,pH field,ZONE_AP_NODE_14,7.6
False,2025-03-11 12:05:00,Temperature,ZONE_AP_NODE_14,15.1
False,2025-03-11 12:00:00,"Chlorine, Free",ZONE_BO_NODE_02,0.34
False,2025-03-11 12:00:00,"Chlorine, Total",ZONE_BO_NODE_02,0.61
False,2025-03-11 12:00:00,pH field,ZONE_BO_NODE_02,7.4
False,2025-03-11 12:00:00,Temperature,ZONE_BO_NODE_02,15.8
False,2025-03-11 11:52:00,"Chlorine, Free",ZONE_AM_NODE_01,0.62
False,2025-03-11 11:52:00,"Chlorine, Total",ZONE_AM_NODE_01,0.8
False,2025-03-11 11:52:00,pH field,ZONE_AM_NODE_01,7.5
False,2025-03-11 11:52:00,Temperature,ZONE_AM_NODE_01,16.6
False,2025-03-11 11:50:00,"Chlorine, Free",ZONE_AP_NODE_12,0.78
False,2025-03-11 11:50:00,"Chlorine, Total",ZONE_AP_NODE_12,1.1
False,2025-03-11 11:50:00,pH field,ZONE_AP_NODE_12,7.8
False,2025-03-11 11:50:00,Temperature,ZONE_AP_NODE_12,14.6
False,2025-03-11 11:37:00,"Chlorine, Free",ZONE_CA_NODE_12,0.98
False,2025-03-11 11:37:00,"Chlorine, Total",ZONE_CA_NODE_12,1.2
False,2025-03-11 11:37:00,pH field,ZONE_CA_NODE_12,7.9
False,2025-03-11 11:37:00,Temperature,ZONE_CA_NODE_12,15.6
False,2025-03-11 11:25:00,"Chlorine, Free",ZONE_BH_NODE_20,0.7
False,2025-03-11 11:25:00,"Chlorine, Total",ZONE_BH_NODE_20,1.4
False,2025-03-11 11:25:00,pH field,ZONE_BH_NODE_20,8.1
False,2025-03-11 11:25:00,Temperature,ZONE_BH_NODE_20,13.6
False,2025-03-11 11:20:00,"Chlorine, Free",ZONE_CS_NODE_01,1.3
False,2025-03-11 11:20:00,"Chlorine, Total",ZONE_CS_NODE_01,1.4
False,2025-03-11 11:20:00,pH field,ZONE_CS_NODE_01,8.2
False,2025-03-11 11:20:00,Temperature,ZONE_CS_NODE_01,15.0
True,2025-03-11 11:20:00,"Chlorine, Free",ZONE_DC_NODE_12,0.07
False,2025-03-11 11:20:00,"Chlorine, Total",ZONE_DC_NODE_12,0.52
True,2025-03-11 11:20:00,pH field,ZONE_DC_NODE_12,8.8
False,2025-03-11 11:20:00,Temperature,ZONE_DC_NODE_12,12.9
False,2025-03-11 11:10:00,"Chlorine, Free",ZONE_CO_NODE_32,0.81
False,2025-03-11 11:10:00,"Chlorine, Total",ZONE_CO_NODE_32,1.1
False,2025-03-11 11:10:00,pH field,ZONE_CO_NODE_32,8.1
False,2025-03-11 11:10:00,Temperature,ZONE_CO_NODE_32,14.4
False,2025-03-11 11:05:00,"Chlorine, Free",ZONE_U_NODE_01,0.63
False,2025-03-11 11:05:00,"Chlorine, Total",ZONE_U_NODE_01,0.88
False,2025-03-11 11:05:00,Temperature,ZONE_U_NODE_01,15.2
False,2025-03-11 11:05:00,pH field,ZONE_U_NODE_01,7.5
False,2025-03-11 11:03:00,"Chlorine, Free",ZONE_BB_NODE_08,0.4
False,2025-03-11 11:03:00,"Chlorine, Total",ZONE_BB_NODE_08,0.72
False,2025-03-11 11:03:00,Temperature,ZONE_BB_NODE_08,16.1
False,2025-03-11 11:03:00,pH field,ZONE_BB_NODE_08,7.9
False,2025-03-11 11:00:00,"Chlorine, Free",ZONE_AC_NODE_13,0.49
False,2025-03-11 11:00:00,"Chlorine, Total",ZONE_AC_NODE_13,0.6
False,2025-03-11 11:00:00,pH field,ZONE_AC_NODE_13,7.8
False,2025-03-11 11:00:00,Temperature,ZONE_AC_NODE_13,17.5
True,2025-03-11 10:55:00,"Chlorine, Free",ZONE_A_NODE_22,0.05
False,2025-03-11 10:55:00,"Chlorine, Total",ZONE_A_NODE_22,1.0
False,2025-03-11 10:55:00,pH field,ZONE_A_NODE_22,7.5
False,2025-03-11 10:55:00,Temperature,ZONE_A_NODE_22,14.8
False,2025-03-11 10:55:00,"Chlorine, Free",ZONE_AP_NODE_01,1.0
False,2025-03-11 10:55:00,"Chlorine, Total",ZONE_AP_NODE_01,1.3
False,2025-03-11 10:55:00,pH field,ZONE_AP_NODE_01,7.7
False,2025-03-11 10:55:00,Temperature,ZONE_AP_NODE_01,15.8
False,2025-03-11 10:55:00,"Chlorine, Free",ZONE_DC_NODE_04,1.0
False,2025-03-11 10:55:00,"Chlorine, Total",ZONE_DC_NODE_04,1.5
False,2025-03-11 10:55:00,pH field,ZONE_DC_NODE_04,8.1
False,2025-03-11 10:55:00,Temperature,ZONE_DC_NODE_04,14.1
False,2025-03-11 10:42:00,"Chlorine, Free",ZONE_U_NODE_04,0.67
False,2025-03-11 10:42:00,"Chlorine, Total",ZONE_U_NODE_04,0.83
False,2025-03-11 10:42:00,pH field,ZONE_U_NODE_04,7.4
False,2025-03-11 10:42:00,Temperature,ZONE_U_NODE_04,17.3
False,2025-03-11 10:42:00,"Chlorine, Free",ZONE_BB_NODE_06,0.6
False,2025-03-11 10:42:00,"Chlorine, Total",ZONE_BB_NODE_06,0.74
False,2025-03-11 10:42:00,pH field,ZONE_BB_NODE_06,7.6
False,2025-03-11 10:42:00,Temperature,ZONE_BB_NODE_06,15.8
True,2025-03-11 10:40:00,"Chlorine, Free",ZONE_A_NODE_21,0.05
False,2025-03-11 10:40:00,"Chlorine, Total",ZONE_A_NODE_21,1.1
False,2025-03-11 10:40:00,pH field,ZONE_A_NODE_21,7.4
False,2025-03-11 10:40:00,Temperature,ZONE_A_NODE_21,15.1
False,2025-03-11 10:40:00,"Chlorine, Free",ZONE_AA_NODE_08,0.43
False,2025-03-11 10:40:00,"Chlorine, Total",ZONE_AA_NODE_08,0.73
False,2025-03-11 10:40:00,pH field,ZONE_AA_NODE_08,7.8
False,2025-03-11 10:40:00,Temperature,ZONE_AA_NODE_08,13.6
False,2025-03-11 10:40:00,"Chlorine, Free",ZONE_AC_NODE_16,0.48
False,2025-03-11 10:40:00,"Chlorine, Total",ZONE_AC_NODE_16,0.58
False,2025-03-11 10:40:00,pH field,ZONE_AC_NODE_16,7.9
False,2025-03-11 10:40:00,Temperature,ZONE_AC_NODE_16,17.6
True,2025-03-11 10:25:00,"Chlorine, Free",ZONE_A_NODE_20,0.05
False,2025-03-11 10:25:00,"Chlorine, Total",ZONE_A_NODE_20,1.0
False,2025-03-11 10:25:00,pH field,ZONE_A_NODE_20,7.4
False,2025-03-11 10:25:00,Temperature,ZONE_A_NODE_20,15.4
False,2025-03-11 10:25:00,"Chlorine, Free",ZONE_U_NODE_02,0.37
False,2025-03-11 10:25:00,"Chlorine, Total",ZONE_U_NODE_02,0.66
False,2025-03-11 10:25:00,pH field,ZONE_U_NODE_02,7.6
False,2025-03-11 10:25:00,Temperature,ZONE_U_NODE_02,20.5
False,2025-03-11 10:25:00,"Chlorine, Free",ZONE_AC_NODE_06,0.79
False,2025-03-11 10:25:00,"Chlorine, Total",ZONE_AC_NODE_06,0.89
False,2025-03-11 10:25:00,Temperature,ZONE_AC_NODE_06,16.3
False,2025-03-11 10:25:00,pH field,ZONE_AC_NODE_06,7.5
False,2025-03-11 10:20:00,"Chlorine, Free",ZONE_K_NODE_01,0.85
False,2025-03-11 10:20:00,"Chlorine, Total",ZONE_K_NODE_01,1.2
False,2025-03-11 10:20:00,pH field,ZONE_K_NODE_01,7.7
False,2025-03-11 10:20:00,Temperature,ZONE_K_NODE_01,14.9
True,2025-03-11 10:15:00,"Chlorine, Free",ZONE_CR_NODE_06,0.05
False,2025-03-11 10:15:00,"Chlorine, Total",ZONE_CR_NODE_06,1.2
False,2025-03-11 10:15:00,pH field,ZONE_CR_NODE_06,7.4
False,2025-03-11 10:15:00,Temperature,ZONE_CR_NODE_06,15.4
False,2025-03-11 10:15:00,"Chlorine, Free",ZONE_DC_NODE_21,1.0
False,2025-03-11 10:15:00,"Chlorine, Total",ZONE_DC_NODE_21,1.4
False,2025-03-11 10:15:00,pH field,ZONE_DC_NODE_21,7.4
False,2025-03-11 10:15:00,Temperature,ZONE_DC_NODE_21,13.9
False,2025-03-11 10:15:00,"Chlorine, Free",ZONE_BH_NODE_09,0.73
False,2025-03-11 10:15:00,"Chlorine, Total",ZONE_BH_NODE_09,0.91
False,2025-03-11 10:15:00,pH field,ZONE_BH_NODE_09,8.4
False,2025-03-11 10:15:00,Temperature,ZONE_BH_NODE_09,12.9
True,2025-03-11 10:13:00,"Chlorine, Free",ZONE_AT_NODE_05,0.16
False,2025-03-11 10:13:00,"Chlorine, Total",ZONE_AT_NODE_05,0.69
False,2025-03-11 10:13:00,Temperature,ZONE_AT_NODE_05,15.5
False,2025-03-11 10:13:00,pH field,ZONE_AT_NODE_05,7.7
False,2025-03-11 10:10:00,"Chlorine, Free",ZONE_CR_NODE_07,1.2
False,2025-03-11 10:10:00,"Chlorine, Total",ZONE_CR_NODE_07,1.5
False,2025-03-11 10:10:00,pH field,ZONE_CR_NODE_07,7.4
False,2025-03-11 10:10:00,Temperature,ZONE_CR_NODE_07,14.7
False,2025-03-11 10:10:00,"Chlorine, Free",ZONE_DF_NODE_03,0.73
False,2025-03-11 10:10:00,"Chlorine, Total",ZONE_DF_NODE_03,0.85
False,2025-03-11 10:10:00,pH field,ZONE_DF_NODE_03,7.6
False,2025-03-11 10:10:00,Temperature,ZONE_DF_NODE_03,16.0
False,2025-03-11 09:55:00,"Chlorine, Free",ZONE_BH_NODE_21,0.66
False,2025-03-11 09:55:00,"Chlorine, Total",ZONE_BH_NODE_21,0.99
False,2025-03-11 09:55:00,pH field,ZONE_BH_NODE_21,7.8
False,2025-03-11 09:55:00,Temperature,ZONE_BH_NODE_21,13.4
False,2025-03-11 09:55:00,"Chlorine, Free",ZONE_CY_NODE_21,0.53
False,2025-03-11 09:55:00,"Chlorine, Total",ZONE_CY_NODE_21,0.63
False,2025-03-11 09:55:00,pH field,ZONE_CY_NODE_21,7.6
False,2025-03-11 09:55:00,Temperature,ZONE_CY_NODE_21,15.8
False,2025-03-11 09:48:00,"Chlorine, Free",ZONE_BV_NODE_29,0.48
False,2025-03-11 09:48:00,"Chlorine, Total",ZONE_BV_NODE_29,0.72
False,2025-03-11 09:48:00,pH field,ZONE_BV_NODE_29,7.5
False,2025-03-11 09:48:00,Temperature,ZONE_BV_NODE_29,16.4
False,2025-03-11 09:46:00,"Chlorine, Free",ZONE_DF_NODE_01,0.71
False,2025-03-11 09:46:00,"Chlorine, Total",ZONE_DF_NODE_01,0.98
False,2025-03-11 09:46:00,pH field,ZONE_DF_NODE_01,7.6
False,2025-03-11 09:46:00,Temperature,ZONE_DF_NODE_01,15.7
False,2025-03-11 09:40:00,"Chlorine, Free",ZONE_DF_NODE_02,1.5
False,2025-03-11 09:40:00,"Chlorine, Total",ZONE_DF_NODE_02,1.6
False,2025-03-11 09:40:00,pH field,ZONE_DF_NODE_02,7.4
False,2025-03-11 09:40:00,Temperature,ZONE_DF_NODE_02,15.5
False,2025-03-11 09:25:00,"Chlorine, Free",ZONE_CX_NODE_18,0.68
False,2025-03-11 09:25:00,"Chlorine, Total",ZONE_CX_NODE_18,0.78
False,2025-03-11 09:25:00,pH field,ZONE_CX_NODE_18,7.5
False,2025-03-11 09:25:00,Temperature,ZONE_CX_NODE_18,15.5
False,2025-03-11 09:20:00,"Chlorine, Free",ZONE_AA_NODE_07,1.2
False,2025-03-11 09:20:00,"Chlorine, Total",ZONE_AA_NODE_07,1.5
False,2025-03-11 09:20:00,pH field,ZONE_AA_NODE_07,8.3
False,2025-03-11 09:20:00,Temperature,ZONE_AA_NODE_07,14.1
False,2025-03-11 09:15:00,"Chlorine, Free",ZONE_CR_NODE_03,0.79
False,2025-03-11 09:15:00,"Chlorine, Total",ZONE_CR_NODE_03,0.99
False,2025-03-11 09:15:00,pH field,ZONE_CR_NODE_03,7.8
False,2025-03-11 09:15:00,Temperature,ZONE_CR_NODE_03,15.3
False,2025-03-11 09:14:00,"Chlorine, Free",ZONE_CQ_NODE_05,0.77
False,2025-03-11 09:14:00,"Chlorine, Total",ZONE_CQ_NODE_05,1.0
False,2025-03-11 09:14:00,pH field,ZONE_CQ_NODE_05,7.5
False,2025-03-11 09:14:00,Temperature,ZONE_CQ_NODE_05,14.8
False,2025-03-11 09:10:00,"Chlorine, Free",ZONE_A_NODE_16,0.57
False,2025-03-11 09:10:00,"Chlorine, Total",ZONE_A_NODE_16,0.81
False,2025-03-11 09:10:00,pH field,ZONE_A_NODE_16,7.6
False,2025-03-11 09:10:00,Temperature,ZONE_A_NODE_16,16.1
False,2025-03-11 09:10:00,"Chlorine, Free",ZONE_CY_NODE_09,0.49
False,2025-03-11 09:10:00,"Chlorine, Total",ZONE_CY_NODE_09,0.6
False,2025-03-11 09:10:00,Temperature,ZONE_CY_NODE_09,16.5
False,2025-03-11 09:10:00,pH field,ZONE_CY_NODE_09,7.6
False,2025-03-11 09:05:00,"Chlorine, Free",ZONE_BO_NODE_17,0.28
False,2025-03-11 09:05:00,"Chlorine, Total",ZONE_BO_NODE_17,0.49
False,2025-03-11 09:05:00,pH field,ZONE_BO_NODE_17,7.5
False,2025-03-11 09:05:00,Temperature,ZONE_BO_NODE_17,18.2
False,2025-03-11 09:00:00,"Chlorine, Free",ZONE_BH_NODE_17,1.2
False,2025-03-11 09:00:00,"Chlorine, Total",ZONE_BH_NODE_17,1.7
False,2025-03-11 09:00:00,pH field,ZONE_BH_NODE_17,8.0
False,2025-03-11 09:00:00,Temperature,ZONE_BH_NODE_17,14.3
False,2025-03-11 09:00:00,"Chlorine, Free",ZONE_AA_NODE_04,1.0
False,2025-03-11 09:00:00,"Chlorine, Total",ZONE_AA_NODE_04,1.3
False,2025-03-11 09:00:00,pH field,ZONE_AA_NODE_04,8.2
False,2025-03-11 09:00:00,Temperature,ZONE_AA_NODE_04,14.7
False,2025-03-11 08:55:00,"Chlorine, Free",ZONE_CX_NODE_08,0.54
False,2025-03-11 08:55:00,"Chlorine, Total",ZONE_CX_NODE_08,0.64
False,2025-03-11 08:55:00,pH field,ZONE_CX_NODE_08,7.5
False,2025-03-11 08:55:00,Temperature,ZONE_CX_NODE_08,16.9
False,2025-03-11 08:50:00,"Chlorine, Free",ZONE_CO_NODE_31,1.2
False,2025-03-11 08:50:00,"Chlorine, Total",ZONE_CO_NODE_31,1.3
False,2025-03-11 08:50:00,pH field,ZONE_CO_NODE_31,7.8
False,2025-03-11 08:50:00,Temperature,ZONE_CO_NODE_31,14.8
False,2025-03-11 08:50:00,"Chlorine, Free",ZONE_BI_NODE_01,0.88
False,2025-03-11 08:50:00,"Chlorine, Total",ZONE_BI_NODE_01,1.3
False,2025-03-11 08:50:00,pH field,ZONE_BI_NODE_01,7.4
False,2025-03-11 08:50:00,Temperature,ZONE_BI_NODE_01,18.8
True,2025-03-11 08:45:00,"Chlorine, Free",ZONE_A_NODE_19,0.07
False,2025-03-11 08:45:00,"Chlorine, Total",ZONE_A_NODE_19,0.83
False,2025-03-11 08:45:00,pH field,ZONE_A_NODE_19,7.5
False,2025-03-11 08:45:00,Temperature,ZONE_A_NODE_19,14.1
False,2025-03-11 08:43:00,"Chlorine, Free",ZONE_AE_NODE_01,0.29
False,2025-03-11 08:43:00,"Chlorine, Total",ZONE_AE_NODE_01,0.49
False,2025-03-11 08:43:00,pH field,ZONE_AE_NODE_01,7.6
False,2025-03-11 08:43:00,Temperature,ZONE_AE_NODE_01,16.4
False,2025-03-11 08:40:00,"Chlorine, Free",ZONE_CY_NODE_05,0.52
False,2025-03-11 08:40:00,"Chlorine, Total",ZONE_CY_NODE_05,0.62
False,2025-03-11 08:40:00,pH field,ZONE_CY_NODE_05,7.6
False,2025-03-11 08:40:00,Temperature,ZONE_CY_NODE_05,18.5
False,2025-03-11 08:35:00,"Chlorine, Free",ZONE_CO_NODE_04,0.56
False,2025-03-11 08:35:00,"Chlorine, Total",ZONE_CO_NODE_04,0.67
False,2025-03-11 08:35:00,pH field,ZONE_CO_NODE_04,8.5
False,2025-03-11 08:35:00,Temperature,ZONE_CO_NODE_04,16.6
False,2025-03-11 08:30:00,"Chlorine, Free",ZONE_BI_NODE_10,1.3
False,2025-03-11 08:30:00,"Chlorine, Total",ZONE_BI_NODE_10,1.7
False,2025-03-11 08:30:00,pH field,ZONE_BI_NODE_10,7.2
False,2025-03-11 08:30:00,Temperature,ZONE_BI_NODE_10,13.6
True,2025-03-11 08:30:00,"Chlorine, Free",ZONE_BH_NODE_05,0.05
False,2025-03-11 08:30:00,"Chlorine, Total",ZONE_BH_NODE_05,0.37
False,2025-03-11 08:30:00,pH field,ZONE_BH_NODE_05,8.4
False,2025-03-11 08:30:00,Temperature,ZONE_BH_NODE_05,12.6
False,2025-03-11 08:25:00,"Chlorine, Free",ZONE_DF_NODE_04,0.98
False,2025-03-11 08:25:00,"Chlorine, Total",ZONE_DF_NODE_04,1.1
False,2025-03-11 08:25:00,pH field,ZONE_DF_NODE_04,7.7
False,2025-03-11 08:25:00,Temperature,ZONE_DF_NODE_04,15.9
True,2025-03-11 08:25:00,"Chlorine, Free",ZONE_A_NODE_14,0.05
False,2025-03-11 08:25:00,"Chlorine, Total",ZONE_A_NODE_14,0.88
False,2025-03-11 08:25:00,pH field,ZONE_A_NODE_14,7.5
False,2025-03-11 08:25:00,Temperature,ZONE_A_NODE_14,14.3
False,2025-03-11 08:20:00,"Chlorine, Free",ZONE_BV_NODE_14,0.67
False,2025-03-11 08:20:00,"Chlorine, Total",ZONE_BV_NODE_14,0.73
False,2025-03-11 08:20:00,Temperature,ZONE_BV_NODE_14,17.7
False,2025-03-11 08:20:00,pH field,ZONE_BV_NODE_14,7.5
False,2025-03-11 08:15:00,"Chlorine, Free",ZONE_CO_NODE_26,1.2
False,2025-03-11 08:15:00,"Chlorine, Total",ZONE_CO_NODE_26,1.3
False,2025-03-11 08:15:00,Temperature,ZONE_CO_NODE_26,15.6
False,2025-03-11 08:15:00,pH field,ZONE_CO_NODE_26,7.7
False,2025-03-11 08:10:00,"Chlorine, Free",ZONE_CD_NODE_09,1.2
False,2025-03-11 08:10:00,"Chlorine, Total",ZONE_CD_NODE_09,1.3
False,2025-03-11 08:10:00,pH field,ZONE_CD_NODE_09,7.6
False,2025-03-11 08:10:00,Temperature,ZONE_CD_NODE_09,17.5
True,2025-03-11 08:10:00,"Chlorine, Free",ZONE_A_NODE_05,0.05
False,2025-03-11 08:10:00,"Chlorine, Total",ZONE_A_NODE_05,0.85
False,2025-03-11 08:10:00,pH field,ZONE_A_NODE_05,7.5
False,2025-03-11 08:10:00,Temperature,ZONE_A_NODE_05,14.1
False,2025-03-11 08:05:00,"Chlorine, Free",ZONE_BM_NODE_17,0.76
False,2025-03-11 08:05:00,"Chlorine, Total",ZONE_BM_NODE_17,1.2
False,2025-03-11 08:05:00,pH field,ZONE_BM_NODE_17,7.2
False,2025-03-11 08:05:00,Temperature,ZONE_BM_NODE_17,17.1
False,2025-03-11 08:00:00,"Chlorine, Free",ZONE_Q_NODE_09,0.74
False,2025-03-11 08:00:00,"Chlorine, Total",ZONE_Q_NODE_09,0.9
False,2025-03-11 08:00:00,pH field,ZONE_Q_NODE_09,7.4
False,2025-03-11 08:00:00,Temperature,ZONE_Q_NODE_09,14.0
False,2025-03-11 07:55:00,"Chlorine, Free",ZONE_DD_NODE_01,0.4
False,2025-03-11 07:55:00,"Chlorine, Total",ZONE_DD_NODE_01,0.5
False,2025-03-11 07:55:00,pH field,ZONE_DD_NODE_01,7.6
False,2025-03-11 07:55:00,Temperature,ZONE_DD_NODE_01,15.8
False,2025-03-11 07:55:00,"Chlorine, Free",ZONE_CO_NODE_17,1.2
False,2025-03-11 07:55:00,"Chlorine, Total",ZONE_CO_NODE_17,1.3
False,2025-03-11 07:55:00,pH field,ZONE_CO_NODE_17,7.9
False,2025-03-11 07:55:00,Temperature,ZONE_CO_NODE_17,15.1
False,2025-03-11 07:53:00,"Chlorine, Free",ZONE_CZ_NODE_29,0.76
False,2025-03-11 07:53:00,"Chlorine, Total",ZONE_CZ_NODE_29,1.0
False,2025-03-11 07:53:00,Temperature,ZONE_CZ_NODE_29,17.0
False,2025-03-11 07:53:00,pH field,ZONE_CZ_NODE_29,7.2
False,2025-03-11 07:50:00,"Chlorine, Free",ZONE_BV_NODE_09,0.6
False,2025-03-11 07:50:00,"Chlorine, Total",ZONE_BV_NODE_09,0.63
False,2025-03-11 07:50:00,pH field,ZONE_BV_NODE_09,7.8
False,2025-03-11 07:50:00,Temperature,ZONE_BV_NODE_09,17.8
False,2025-03-11 07:45:00,"Chlorine, Free",ZONE_DD_NODE_02,0.46
False,2025-03-11 07:45:00,"Chlorine, Total",ZONE_DD_NODE_02,0.56
False,2025-03-11 07:45:00,pH field,ZONE_DD_NODE_02,7.6
False,2025-03-11 07:45:00,Temperature,ZONE_DD_NODE_02,15.8
False,2025-03-11 07:45:00,"Chlorine, Free",ZONE_BH_NODE_19,0.79
False,2025-03-11 07:45:00,"Chlorine, Total",ZONE_BH_NODE_19,1.2
False,2025-03-11 07:45:00,pH field,ZONE_BH_NODE_19,7.8
False,2025-03-11 07:45:00,Temperature,ZONE_BH_NODE_19,15.3
False,2025-03-11 07:45:00,"Chlorine, Free",ZONE_BM_NODE_05,0.77
False,2025-03-11 07:45:00,"Chlorine, Total",ZONE_BM_NODE_05,1.2
False,2025-03-11 07:45:00,pH field,ZONE_BM_NODE_05,7.2
False,2025-03-11 07:45:00,Temperature,ZONE_BM_NODE_05,18.0
False,2025-03-11 07:40:00,"Chlorine, Free",ZONE_Q_NODE_03,1.0
False,2025-03-11 07:40:00,"Chlorine, Total",ZONE_Q_NODE_03,1.1
False,2025-03-11 07:40:00,pH field,ZONE_Q_NODE_03,7.8
False,2025-03-11 07:40:00,Temperature,ZONE_Q_NODE_03,15.7
False,2025-03-11 07:35:00,"Chlorine, Free",ZONE_CR_NODE_01,1.2
False,2025-03-11 07:35:00,"Chlorine, Total",ZONE_CR_NODE_01,1.3
False,2025-03-11 07:35:00,pH field,ZONE_CR_NODE_01,7.6
False,2025-03-11 07:35:00,Temperature,ZONE_CR_NODE_01,14.4
False,2025-03-11 07:35:00,"Chlorine, Free",ZONE_CZ_NODE_11,0.85
False,2025-03-11 07:35:00,"Chlorine, Total",ZONE_CZ_NODE_11,1.1
False,2025-03-11 07:35:00,pH field,ZONE_CZ_NODE_11,7.2
False,2025-03-11 07:35:00,Temperature,ZONE_CZ_NODE_11,17.4
False,2025-03-11 07:20:00,"Chlorine, Free",ZONE_BM_NODE_02,0.32
False,2025-03-11 07:20:00,"Chlorine, Total",ZONE_BM_NODE_02,0.64
False,2025-03-11 07:20:00,pH field,ZONE_BM_NODE_02,7.3
False,2025-03-11 07:20:00,Temperature,ZONE_BM_NODE_02,18.9
False,2025-03-11 07:15:00,"Chlorine, Free",ZONE_DA_NODE_01,0.58
False,2025-03-11 07:15:00,"Chlorine, Total",ZONE_DA_NODE_01,0.68
False,2025-03-11 07:15:00,pH field,ZONE_DA_NODE_01,8.1
False,2025-03-11 07:15:00,Temperature,ZONE_DA_NODE_01,15.9
False,2025-08-10 11:30:00,"Chlorine, Free",ZONE_CN_NODE_09,0.6
False,2025-08-10 11:30:00,"Chlorine, Total",ZONE_CN_NODE_09,0.69
False,2025-08-10 11:30:00,pH field,ZONE_CN_NODE_09,8.2
False,2025-08-10 11:30:00,Temperature,ZONE_CN_NODE_09,14.8
False,2025-08-10 11:00:00,"Chlorine, Free",ZONE_BC_NODE_13,1.5
False,2025-08-10 11:00:00,"Chlorine, Total",ZONE_BC_NODE_13,1.6
False,2025-08-10 11:00:00,pH field,ZONE_BC_NODE_13,7.8
